date,tau_yrs,S,sigma,C_bs,C_model
2019-01-02,0.7419575633127995,36.346377754211424,0.4960983774383586,3.6777270491582534,0.0
2019-01-02,0.7419575633127995,36.67158419780242,0.4960983774383586,3.812990543307464,0.12633669085183707
2019-01-02,0.7419575633127995,36.99679064139342,0.4960983774383586,3.9508920413103397,0.2525688400855283
2019-01-02,0.7419575633127995,37.32199708498441,0.4960983774383586,4.091418728515393,0.3787891584386375
2019-01-02,0.7419575633127995,37.64720352857541,0.4960983774383586,4.234556863432887,0.5050839426833066
2019-01-02,0.7419575633127995,37.9724099721664,0.4960983774383586,4.380291819475934,0.6315285937825648
2019-01-02,0.7419575633127995,38.297616415757396,0.4960983774383586,4.52860812617738,0.7581905061139744
2019-01-02,0.7419575633127995,38.622822859348396,0.4960983774383586,4.679489509826205,0.8851317888807582
2019-01-02,0.7419575633127995,38.94802930293939,0.4960983774383586,4.832918933472413,1.0124103595268243
2019-01-02,0.7419575633127995,39.27323574653038,0.4960983774383586,4.988878636254897,1.1400799667976633
2019-01-02,0.7419575633127995,39.59844219012138,0.4960983774383586,5.147350172011405,1.2681898267707847
2019-01-02,0.7419575633127995,39.923648633712375,0.4960983774383586,5.308314447134773,1.3967842643162627
2019-01-02,0.7419575633127995,40.248855077303375,0.4960983774383586,5.471751757643824,1.5259024802723047
2019-01-02,0.7419575633127995,40.57406152089437,0.4960983774383586,5.637641825441522,1.6555783716991164
2019-01-02,0.7419575633127995,40.89926796448536,0.4960983774383586,5.80596383373701,1.7858402585103232
2019-01-02,0.7419575633127995,41.22447440807636,0.4960983774383586,5.976696461611789,1.9167105473632728
2019-01-02,0.7419575633127995,41.549680851667354,0.4960983774383586,6.149817917713722,2.0482059118037186
2019-01-02,0.7419575633127995,41.87488729525835,0.4960983774383586,6.325305973065955,2.1803391341996075
2019-01-02,0.7419575633127995,42.20009373884935,0.4960983774383586,6.5031379929805695,2.3131227731268886
2019-01-02,0.7419575633127995,42.52530018244034,0.4960983774383586,6.683290968069926,2.446569702019559
2019-01-02,0.7419575633127995,42.85050662603134,0.4960983774383586,6.865741544351103,2.580677814305472
2019-01-02,0.7419575633127995,43.17571306962233,0.4960983774383586,7.050466052441099,2.715397258220168
2019-01-02,0.7419575633127995,43.500919513213326,0.4960983774383586,7.237440535843188,2.8506641609862577
2019-01-02,0.7419575633127995,43.826125956804326,0.4960983774383586,7.426640778326249,2.9867155551924993
2019-01-02,0.7419575633127995,44.15133240039532,0.4960983774383586,7.618042330401273,3.124070284462496
2019-01-02,0.7419575633127995,44.47653884398632,0.4960983774383586,7.811620534900893,3.2595609911101584
2019-01-02,0.7419575633127995,44.80174528757731,0.4960983774383586,8.007350551669035,3.399197423586806
2019-01-02,0.7419575633127995,45.126951731168305,0.4960983774383586,8.2052073813698,3.5367109185151886
2019-01-02,0.7419575633127995,45.452158174759305,0.4960983774383586,8.405165888425493,3.6756423997729892
2019-01-02,0.7419575633127995,45.7773646183503,0.4960983774383586,8.607200823095106,3.815191109931569
2019-01-02,0.7419575633127995,46.10257106194129,0.4960983774383586,8.81128684270573,3.955135629263003
2019-01-02,0.7419575633127995,46.42777750553229,0.4960983774383586,9.01739853205008,4.095505111033704
2019-01-02,0.7419575633127995,46.75298394912328,0.4960983774383586,9.225510422964277,4.2363118103935085
2019-01-02,0.7419575633127995,47.07819039271428,0.4960983774383586,9.435597013100871,4.3775279845925725
2019-01-02,0.7419575633127995,47.40339683630528,0.4960983774383586,9.647632783912538,4.5191134538549385
2019-01-02,0.7419575633127995,47.72860327989628,0.4960983774383586,9.861592217862594,4.661031314698898
2019-01-02,0.7419575633127995,48.05380972348727,0.4960983774383586,10.077449814878786,4.8032518961839905
2019-01-02,0.7419575633127995,48.37901616707826,0.4960983774383586,10.295180108067552,4.9457525065389385
2019-01-02,0.7419575633127995,48.70422261066926,0.4960983774383586,10.51475767870578,5.0885139719576795
2019-01-02,0.7419575633127995,49.029429054260255,0.4960983774383586,10.73615717052774,5.231510870946501
2019-01-10,0.7200547570157426,36.346377754211424,0.4960983774383586,3.583017885446834,0.0
2019-01-10,0.7200547570157426,36.67158419780242,0.4960983774383586,3.7169322840499515,0.1230377889259922
2019-01-10,0.7200547570157426,36.99679064139342,0.4960983774383586,3.853518690282595,0.24601651162488336
2019-01-10,0.7200547570157426,37.32199708498441,0.4960983774383586,3.9927648597284975,0.3690329513879205
2019-01-10,0.7200547570157426,37.64720352857541,0.4960983774383586,4.134657561372407,0.49218070339385944
2019-01-10,0.7200547570157426,37.9724099721664,0.4960983774383586,4.279182620764953,0.6155546720514061
2019-01-10,0.7200547570157426,38.297616415757396,0.4960983774383586,4.426324962730323,0.7392475411749343
2019-01-10,0.7200547570157426,38.622822859348396,0.4960983774383586,4.576068653551305,0.8633461554232289
2019-01-10,0.7200547570157426,38.94802930293939,0.4960983774383586,4.728396942572452,0.987929629280873
2019-01-10,0.7200547570157426,39.27323574653038,0.4960983774383586,4.883292303167794,1.113068773113315
2019-01-10,0.7200547570157426,39.59844219012138,0.4960983774383586,5.040736473024781,1.2388261637883882
2019-01-10,0.7200547570157426,39.923648633712375,0.4960983774383586,5.200710493701516,1.3652564250372903
2019-01-10,0.7200547570157426,40.248855077303375,0.4960983774383586,5.3631947494190655,1.4924065485034026
2019-01-10,0.7200547570157426,40.57406152089437,0.4960983774383586,5.528169005055322,1.6203162878039368
2019-01-10,0.7200547570157426,40.89926796448536,0.4960983774383586,5.695612443311218,1.7490187346270925
